"spam","to_multiple","from","cc","sent_email","time","image","attach","dollar","winner","inherit","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"0",0,1,1,0,2012-01-15 11:50:52,0,0,0,"no",0,0,3.447,78,0,1,0,0,0,"small"
"0",0,1,0,0,2012-02-08 22:34:14,0,0,7,"no",0,0,32.217,763,1,0,0,0,1,"small"
"0",0,1,0,1,2012-02-02 19:50:06,0,0,0,"no",0,0,7.565,196,1,1,0,0,0,"small"
"0",0,1,0,0,2012-03-15 11:58:53,0,0,0,"no",0,0,2.199,48,1,0,0,0,2,"small"
"0",0,1,0,0,2012-02-07 16:03:05,0,0,0,"no",0,0,61.251,1308,1,0,0,0,1,"small"
"0",0,1,0,0,2012-03-29 11:10:32,0,0,26,"no",0,0,37.622,563,1,0,0,0,7,"small"
"0",0,1,1,1,2012-03-11 20:02:13,0,0,0,"no",0,0,2.031,43,0,1,0,0,1,"small"
"0",0,1,0,0,2012-01-10 11:29:19,0,0,0,"no",0,0,0.45,14,0,0,0,0,0,"none"
"0",1,1,0,0,2012-03-28 12:00:49,0,0,0,"no",0,0,10.185,132,0,0,0,0,0,"small"
"0",0,1,0,1,2012-02-14 07:53:18,0,0,0,"no",0,0,6.071,157,1,1,0,0,4,"small"
"0",0,1,0,0,2012-01-24 09:13:11,0,0,0,"no",0,0,16.148,256,1,0,0,0,1,"small"
"0",1,1,0,0,2012-01-25 15:16:14,0,0,0,"no",0,0,0.478,9,0,0,0,0,1,"small"
"0",0,1,0,0,2012-02-13 22:46:37,0,0,0,"no",0,0,25.2,636,1,0,0,0,2,"small"
"0",0,1,0,0,2012-02-08 20:50:02,0,0,4,"no",0,0,3.119,64,1,0,0,0,0,"small"
"0",0,1,0,0,2012-01-27 07:29:51,0,0,0,"no",0,0,10.824,353,1,0,0,0,2,"small"
"0",0,1,0,0,2012-02-01 21:14:31,0,0,0,"no",0,0,3.347,93,1,1,0,0,8,"small"
"0",0,1,0,1,2012-01-05 14:09:50,0,0,0,"no",0,0,16.689,254,0,1,0,0,5,"small"
"0",0,1,0,0,2012-02-02 20:59:00,0,0,36,"no",0,0,164.843,3589,1,0,0,0,1197,"big"
"0",1,1,0,1,2012-01-05 18:51:09,0,1,0,"no",0,0,5.834,127,1,0,0,0,5,"small"
"0",0,1,0,1,2012-03-08 22:13:13,0,0,0,"no",0,0,18.215,395,1,1,0,0,2,"small"
"0",0,1,0,0,2012-03-20 20:01:57,0,0,5,"no",0,0,21.68,519,1,0,0,0,8,"small"
"0",0,1,0,0,2012-03-11 22:20:00,0,0,0,"no",0,0,4.25,49,1,0,0,0,0,"small"
"0",1,1,3,1,2012-03-06 21:35:42,0,0,0,"no",0,0,26.596,748,1,1,0,0,0,"small"
"0",0,1,0,0,2012-01-17 19:57:25,0,1,0,"no",0,0,13.453,163,1,0,0,0,4,"small"
"0",0,1,0,0,2012-03-31 17:11:29,0,0,14,"no",0,0,24.005,297,1,0,1,0,18,"small"
"0",0,1,0,0,2012-01-27 09:07:50,0,0,0,"no",0,0,24.255,620,1,0,0,0,1,"small"
"0",0,1,0,0,2012-03-19 03:34:15,0,0,6,"no",0,1,44.882,1151,1,0,0,0,44,"small"
"0",0,1,0,0,2012-03-27 14:58:06,0,0,0,"no",0,0,30.411,732,1,0,0,0,3,"small"
"0",0,1,0,0,2012-01-27 11:05:54,0,0,16,"no",1,0,13.561,305,1,0,0,0,8,"small"
"0",0,1,0,1,2012-02-15 12:51:05,0,0,0,"no",0,0,5.324,129,1,1,0,0,6,"small"
"0",0,1,0,0,2012-03-26 17:42:16,0,0,0,"no",0,0,17.849,407,1,0,0,0,2,"small"
