"detection_threshold","PF_est","PD_est","case"
-3,1,1,"A = one"
-2.95,1,1,"A = one"
-2.9,1,1,"A = one"
-2.85,1,1,"A = one"
-2.8,1,1,"A = one"
-2.75,1,1,"A = one"
-2.7,1,1,"A = one"
-2.65,1,1,"A = one"
-2.6,1,1,"A = one"
-2.55,1,1,"A = one"
-2.5,1,1,"A = one"
-2.45,1,1,"A = one"
-2.4,1,1,"A = one"
-2.35,1,1,"A = one"
-2.3,1,1,"A = one"
-2.25,1,1,"A = one"
-2.2,1,1,"A = one"
-2.15,1,1,"A = one"
-2.1,1,1,"A = one"
-2.05,1,1,"A = one"
-2,1,1,"A = one"
-1.95,1,1,"A = one"
-1.9,1,1,"A = one"
-1.85,1,1,"A = one"
-1.8,1,1,"A = one"
-1.75,1,1,"A = one"
-1.7,1,1,"A = one"
-1.65,1,1,"A = one"
-1.6,1,1,"A = one"
-1.55,1,1,"A = one"
-1.5,1,1,"A = one"
-1.45,1,1,"A = one"
-1.4,1,1,"A = one"
-1.35,1,1,"A = one"
-1.3,1,1,"A = one"
-1.25,1,1,"A = one"
-1.2,1,1,"A = one"
-1.15,0.9999,1,"A = one"
-1.1,0.9999,1,"A = one"
-1.05,0.9997,1,"A = one"
-1,0.999,1,"A = one"
-0.95,0.9978,1,"A = one"
-0.9,0.9972,1,"A = one"
-0.85,0.9958,1,"A = one"
-0.8,0.9946,1,"A = one"
-0.75,0.9916,1,"A = one"
-0.7,0.9872,1,"A = one"
-0.65,0.9793,1,"A = one"
-0.6,0.9723,1,"A = one"
-0.55,0.9599,1,"A = one"
-0.5,0.9433,1,"A = one"
-0.45,0.9209,1,"A = one"
-0.4,0.8976,1,"A = one"
-0.35,0.8704,1,"A = one"
-0.3,0.8339,1,"A = one"
-0.25,0.7877,1,"A = one"
-0.2,0.7403,1,"A = one"
-0.15,0.688,0.9999,"A = one"
-0.0999999999999996,0.6275,0.9997,"A = one"
-0.0499999999999998,0.5684,0.9996,"A = one"
0,0.4982,0.9992,"A = one"
0.0500000000000003,0.437,0.9989,"A = one"
0.1,0.3743,0.9977,"A = one"
0.15,0.3174,0.9961,"A = one"
0.2,0.2652,0.9942,"A = one"
0.25,0.2146,0.9918,"A = one"
0.3,0.1723,0.9875,"A = one"
0.35,0.1386,0.9799,"A = one"
0.4,0.1052,0.9722,"A = one"
0.45,0.0793,0.9594,"A = one"
0.5,0.0587,0.943,"A = one"
0.55,0.0403,0.9235,"A = one"
0.6,0.0292,0.8974,"A = one"
0.65,0.0202,0.8648,"A = one"
0.7,0.0123,0.8242,"A = one"
0.75,0.0079,0.7771,"A = one"
0.8,0.0055,0.7301,"A = one"
0.85,0.0038,0.676,"A = one"
0.9,0.0026,0.6173,"A = one"
0.95,0.0012,0.559,"A = one"
1,7e-04,0.4942,"A = one"
1.05,3e-04,0.4352,"A = one"
1.1,1e-04,0.3742,"A = one"
1.15,1e-04,0.3211,"A = one"
1.2,0,0.2664,"A = one"
1.25,0,0.2159,"A = one"
1.3,0,0.1727,"A = one"
1.35,0,0.1314,"A = one"
1.4,0,0.1012,"A = one"
1.45,0,0.0731,"A = one"
1.5,0,0.0556,"A = one"
1.55,0,0.041,"A = one"
1.6,0,0.0297,"A = one"
1.65,0,0.0199,"A = one"
1.7,0,0.0147,"A = one"
1.75,0,0.0106,"A = one"
1.8,0,0.0064,"A = one"
1.85,0,0.0039,"A = one"
1.9,0,0.0023,"A = one"
1.95,0,0.0014,"A = one"
2,0,0.001,"A = one"
2.05,0,4e-04,"A = one"
2.1,0,3e-04,"A = one"
2.15,0,1e-04,"A = one"
2.2,0,1e-04,"A = one"
2.25,0,0,"A = one"
2.3,0,0,"A = one"
2.35,0,0,"A = one"
2.4,0,0,"A = one"
2.45,0,0,"A = one"
2.5,0,0,"A = one"
2.55,0,0,"A = one"
2.6,0,0,"A = one"
2.65,0,0,"A = one"
2.7,0,0,"A = one"
2.75,0,0,"A = one"
2.8,0,0,"A = one"
2.85,0,0,"A = one"
2.9,0,0,"A = one"
2.95,0,0,"A = one"
3,0,0,"A = one"
