"detection_threshold","PF_est","PD_est","case"
-4,1,1,"A = one_pt_five"
-3.95,1,1,"A = one_pt_five"
-3.9,1,1,"A = one_pt_five"
-3.85,1,1,"A = one_pt_five"
-3.8,1,1,"A = one_pt_five"
-3.75,1,1,"A = one_pt_five"
-3.7,1,1,"A = one_pt_five"
-3.65,1,1,"A = one_pt_five"
-3.6,1,1,"A = one_pt_five"
-3.55,1,1,"A = one_pt_five"
-3.5,1,1,"A = one_pt_five"
-3.45,1,1,"A = one_pt_five"
-3.4,1,1,"A = one_pt_five"
-3.35,1,1,"A = one_pt_five"
-3.3,1,1,"A = one_pt_five"
-3.25,1,1,"A = one_pt_five"
-3.2,1,1,"A = one_pt_five"
-3.15,1,1,"A = one_pt_five"
-3.1,1,1,"A = one_pt_five"
-3.05,1,1,"A = one_pt_five"
-3,1,1,"A = one_pt_five"
-2.95,1,1,"A = one_pt_five"
-2.9,1,1,"A = one_pt_five"
-2.85,1,1,"A = one_pt_five"
-2.8,1,1,"A = one_pt_five"
-2.75,1,1,"A = one_pt_five"
-2.7,1,1,"A = one_pt_five"
-2.65,1,1,"A = one_pt_five"
-2.6,1,1,"A = one_pt_five"
-2.55,1,1,"A = one_pt_five"
-2.5,1,1,"A = one_pt_five"
-2.45,1,1,"A = one_pt_five"
-2.4,1,1,"A = one_pt_five"
-2.35,1,1,"A = one_pt_five"
-2.3,1,1,"A = one_pt_five"
-2.25,1,1,"A = one_pt_five"
-2.2,1,1,"A = one_pt_five"
-2.15,1,1,"A = one_pt_five"
-2.1,1,1,"A = one_pt_five"
-2.05,1,1,"A = one_pt_five"
-2,1,1,"A = one_pt_five"
-1.95,1,1,"A = one_pt_five"
-1.9,1,1,"A = one_pt_five"
-1.85,1,1,"A = one_pt_five"
-1.8,1,1,"A = one_pt_five"
-1.75,1,1,"A = one_pt_five"
-1.7,1,1,"A = one_pt_five"
-1.65,1,1,"A = one_pt_five"
-1.6,1,1,"A = one_pt_five"
-1.55,1,1,"A = one_pt_five"
-1.5,1,1,"A = one_pt_five"
-1.45,1,1,"A = one_pt_five"
-1.4,1,1,"A = one_pt_five"
-1.35,1,1,"A = one_pt_five"
-1.3,0.9998,1,"A = one_pt_five"
-1.25,0.9998,1,"A = one_pt_five"
-1.2,0.9998,1,"A = one_pt_five"
-1.15,0.9998,1,"A = one_pt_five"
-1.1,0.9998,1,"A = one_pt_five"
-1.05,0.9996,1,"A = one_pt_five"
-1,0.9991,1,"A = one_pt_five"
-0.95,0.9987,1,"A = one_pt_five"
-0.9,0.9981,1,"A = one_pt_five"
-0.85,0.9969,1,"A = one_pt_five"
-0.8,0.9949,1,"A = one_pt_five"
-0.75,0.9916,1,"A = one_pt_five"
-0.7,0.9875,1,"A = one_pt_five"
