"false_positive_rate","true_positive_rate"
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,0.999
0.999,0.999
0.997,0.998
0.997,0.998
0.996,0.997
0.995,0.997
0.993,0.995
0.988,0.995
0.985,0.993
0.978,0.992
0.974,0.989
0.964,0.986
0.96,0.984
0.951,0.98
0.938,0.979
0.933,0.979
0.925,0.977
0.918,0.974
0.908,0.969
0.898,0.968
0.89,0.965
0.882,0.961
0.869,0.955
0.858,0.953
0.851,0.951
0.844,0.946
0.836,0.943
0.825,0.939
0.818,0.936
0.811,0.933
0.806,0.932
0.796,0.93
0.781,0.927
0.769,0.925
0.76,0.922
0.755,0.919
0.747,0.916
0.735,0.913
0.727,0.908
0.718,0.906
0.708,0.902
0.701,0.899
0.695,0.894
0.69,0.892
0.679,0.888
0.666,0.884
0.66,0.878
0.653,0.876
0.644,0.874
0.64,0.87
0.632,0.867
0.626,0.865
0.618,0.86
0.608,0.858
0.6,0.855
0.589,0.85
0.582,0.847
0.572,0.841
0.567,0.833
0.56,0.828
0.551,0.826
0.541,0.825
0.533,0.818
0.526,0.813
0.512,0.811
0.508,0.808
0.497,0.801
0.486,0.801
0.477,0.798
0.474,0.792
0.465,0.789
0.461,0.787
0.456,0.785
0.45,0.78
0.444,0.777
0.44,0.773
0.436,0.768
0.434,0.766
0.428,0.762
0.424,0.755
0.419,0.752
0.416,0.745
0.407,0.743
0.403,0.741
0.396,0.737
0.389,0.734
0.382,0.731
0.381,0.729
0.372,0.727
0.364,0.722
0.364,0.721
0.357,0.72
0.354,0.715
0.352,0.712
0.346,0.707
0.342,0.696
0.336,0.694
0.334,0.692
0.327,0.689
0.324,0.688
0.321,0.686
0.318,0.682
0.317,0.68
0.311,0.676
0.308,0.675
0.303,0.669
0.299,0.665
0.298,0.658
0.293,0.656
0.29,0.65
0.287,0.649
0.284,0.646
0.28,0.644
0.274,0.642
0.271,0.639
0.267,0.638
0.265,0.634
0.261,0.627
0.26,0.623
0.258,0.62
0.255,0.617
0.253,0.614
0.252,0.614
0.25,0.611
0.249,0.607
0.247,0.606
0.244,0.604
0.24,0.603
0.236,0.6
0.236,0.6
0.236,0.6
0.234,0.597
0.23,0.593
0.225,0.588
0.224,0.584
0.224,0.583
0.221,0.579
0.22,0.577
0.218,0.574
0.218,0.572
0.216,0.568
0.216,0.561
0.215,0.56
0.211,0.559
0.21,0.557
0.206,0.555
0.206,0.555
0.204,0.55
0.202,0.549
0.202,0.549
0.202,0.549
0.201,0.549
0.201,0.546
0.199,0.543
0.197,0.54
0.196,0.538
0.195,0.538
0.193,0.535
0.193,0.533
0.192,0.531
0.192,0.529
0.19,0.527
0.189,0.527
0.189,0.526
0.188,0.524
0.186,0.524
0.184,0.522
0.181,0.519
0.179,0.517
0.178,0.514
0.175,0.51
0.174,0.51
0.173,0.507
0.173,0.503
0.171,0.502
0.17,0.5
0.169,0.498
0.168,0.497
0.168,0.495
0.167,0.495
0.166,0.494
0.166,0.49
0.166,0.49
0.165,0.49
0.164,0.488
